epoch,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,9.10693073272705,,
0,99,,6.341773509979248,,
0,149,,5.404445171356201,,
0,199,,4.998901844024658,,
0,249,,4.948949813842773,,
0,299,,4.8335161209106445,,
0,349,,4.778599739074707,,
0,399,,4.640237808227539,,
0,449,,4.39918327331543,,
0,499,,4.5414137840271,,
0,549,,4.188084125518799,,
0,599,,4.321518898010254,,
0,649,,4.144090175628662,,
0,699,,4.224492073059082,,
0,749,,4.211086273193359,,
0,799,,4.019458770751953,,
0,799,,,0.419604629278183,4.082416534423828
0,799,5.137483596801758,,,
1,849,,3.8785674571990967,,
1,899,,4.113776683807373,,
1,949,,3.8316009044647217,,
1,999,,3.893585681915283,,
1,1049,,3.6934874057769775,,
1,1099,,3.741011381149292,,
1,1149,,3.889460802078247,,
1,1199,,3.579906940460205,,
1,1249,,3.881335973739624,,
1,1299,,3.7105023860931396,,
1,1349,,3.695784091949463,,
1,1399,,3.5009844303131104,,
1,1449,,3.4647867679595947,,
1,1499,,3.4732706546783447,,
1,1549,,3.5732333660125732,,
1,1599,,3.6324827671051025,,
1,1599,,,0.4693519175052643,3.5718557834625244
1,1599,3.748981237411499,,,
2,1649,,3.6224985122680664,,
2,1699,,3.3241639137268066,,
2,1749,,3.4905269145965576,,
2,1799,,3.2699131965637207,,
2,1849,,3.263852834701538,,
2,1899,,3.208528518676758,,
2,1949,,3.3056066036224365,,
2,1999,,3.42333722114563,,
2,2049,,3.314492702484131,,
2,2099,,3.2323875427246094,,
2,2149,,3.384197473526001,,
2,2199,,3.011887550354004,,
2,2249,,3.340217351913452,,
2,2299,,3.408151626586914,,
2,2349,,3.233768939971924,,
2,2399,,3.162689685821533,,
2,2399,,,0.5036625266075134,3.2464184761047363
2,2399,3.3082363605499268,,,
3,2449,,3.1975224018096924,,
3,2499,,2.9967293739318848,,
3,2549,,3.1096458435058594,,
3,2599,,3.0684616565704346,,
3,2649,,3.1516520977020264,,
3,2699,,3.0832443237304688,,
3,2749,,2.768522262573242,,
3,2799,,3.0942678451538086,,
3,2849,,3.1774392127990723,,
3,2899,,2.85595440864563,,
3,2949,,2.9436542987823486,,
3,2999,,2.99119234085083,,
3,3049,,2.800478219985962,,
3,3099,,2.881472110748291,,
3,3149,,2.978219509124756,,
3,3199,,2.9996612071990967,,
3,3199,,,0.5277438759803772,3.0097010135650635
3,3199,2.990976095199585,,,
4,3249,,2.9695076942443848,,
4,3299,,2.8125,,
4,3349,,2.8038582801818848,,
4,3399,,2.863201379776001,,
4,3449,,2.7778823375701904,,
4,3499,,2.710427761077881,,
4,3549,,2.66977596282959,,
4,3599,,2.9211947917938232,,
4,3649,,2.685032367706299,,
4,3699,,2.9071285724639893,,
4,3749,,2.6632657051086426,,
4,3799,,2.6556060314178467,,
4,3849,,2.712533473968506,,
4,3899,,2.4572675228118896,,
4,3949,,2.613632917404175,,
4,3999,,2.543574333190918,,
4,3999,,,0.54677414894104,2.8285136222839355
4,3999,2.7459137439727783,,,
5,4049,,2.603853702545166,,
5,4099,,2.83453106880188,,
5,4149,,2.4521520137786865,,
5,4199,,2.4914729595184326,,
5,4249,,2.504279851913452,,
5,4299,,2.542457342147827,,
5,4349,,2.4894230365753174,,
5,4399,,2.5399415493011475,,
5,4449,,2.5645201206207275,,
5,4499,,2.5945067405700684,,
5,4549,,2.549079656600952,,
5,4599,,2.547088861465454,,
5,4649,,2.4455840587615967,,
5,4699,,2.5355348587036133,,
5,4749,,2.545657157897949,,
5,4799,,2.3950564861297607,,
5,4799,,,0.564720094203949,2.68003511428833
5,4799,2.5484042167663574,,,
6,4849,,2.4223783016204834,,
6,4899,,2.4681408405303955,,
6,4949,,2.3289341926574707,,
6,4999,,2.4153292179107666,,
6,5049,,2.218402624130249,,
6,5099,,2.4534809589385986,,
6,5149,,2.640298366546631,,
6,5199,,2.4144208431243896,,
6,5249,,2.375727415084839,,
6,5299,,2.2636616230010986,,
6,5349,,2.306901693344116,,
6,5399,,2.2402968406677246,,
6,5449,,2.3186392784118652,,
6,5499,,2.2418432235717773,,
6,5549,,2.3811404705047607,,
6,5599,,2.4687530994415283,,
6,5599,,,0.577046811580658,2.5622446537017822
6,5599,2.3810670375823975,,,
7,5649,,2.219716787338257,,
7,5699,,2.373224973678589,,
7,5749,,2.201491355895996,,
7,5799,,2.2866029739379883,,
7,5849,,2.1881465911865234,,
7,5899,,2.229393243789673,,
7,5949,,2.1344423294067383,,
7,5999,,2.2681996822357178,,
7,6049,,2.2641005516052246,,
7,6099,,2.127260684967041,,
7,6149,,2.2753498554229736,,
7,6199,,2.2223174571990967,,
7,6249,,2.397775888442993,,
7,6299,,2.199547052383423,,
7,6349,,2.178532361984253,,
7,6399,,2.0746889114379883,,
7,6399,,,0.5911476612091064,2.4560112953186035
