epoch,step,test_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,7.45649528503418,,
0,99,,,5.906508922576904,,
0,149,,,5.083463668823242,,
0,199,,,4.859569549560547,,
0,249,,,4.399991035461426,,
0,299,,,4.3029279708862305,,
0,349,,,4.177713394165039,,
0,399,,,4.040284156799316,,
0,449,,,3.8456308841705322,,
0,499,,,3.742699146270752,,
0,549,,,3.711730480194092,,
0,599,,,3.42160701751709,,
0,649,,,3.523341178894043,,
0,699,,,3.414419651031494,,
0,749,,,3.5040605068206787,,
0,799,,,3.242722988128662,,
0,799,,,,0.5646605491638184,3.1641323566436768
0,799,,4.4500508308410645,,,
1,849,,,3.1696369647979736,,
1,899,,,3.29083514213562,,
1,949,,,3.1687862873077393,,
1,999,,,2.929654598236084,,
1,1049,,,3.066854238510132,,
1,1099,,,2.9176015853881836,,
1,1149,,,2.8575820922851562,,
1,1199,,,2.694232225418091,,
1,1249,,,2.874001979827881,,
1,1299,,,2.984067678451538,,
1,1349,,,2.67710542678833,,
1,1399,,,2.5902318954467773,,
1,1449,,,2.797651767730713,,
1,1499,,,2.64098858833313,,
1,1549,,,2.5576133728027344,,
1,1599,,,2.515935182571411,,
1,1599,,,,0.6399999260902405,2.4706778526306152
1,1599,,2.871178388595581,,,
2,1649,,,2.3438029289245605,,
2,1699,,,2.438652992248535,,
2,1749,,,2.3394625186920166,,
2,1799,,,2.3451693058013916,,
2,1849,,,2.563366413116455,,
2,1899,,,2.496762990951538,,
2,1949,,,2.4265055656433105,,
2,1999,,,2.118140697479248,,
2,2049,,,2.1892120838165283,,
2,2099,,,2.2017946243286133,,
2,2149,,,2.3755617141723633,,
2,2199,,,2.3677854537963867,,
2,2249,,,2.1905081272125244,,
2,2299,,,2.0862631797790527,,
2,2349,,,2.2849690914154053,,
2,2399,,,2.382441759109497,,
2,2399,,,,0.6924285888671875,2.0512797832489014
2,2399,,2.312150001525879,,,
3,2449,,,1.9021118879318237,,
3,2499,,,1.9416340589523315,,
3,2549,,,2.0519330501556396,,
3,2599,,,2.007798194885254,,
3,2649,,,1.9340426921844482,,
3,2699,,,2.133737087249756,,
3,2749,,,1.7457382678985596,,
3,2799,,,1.790972113609314,,
3,2849,,,1.9258103370666504,,
3,2899,,,1.7917160987854004,,
3,2949,,,1.9224358797073364,,
3,2999,,,1.7599728107452393,,
3,3049,,,1.744871973991394,,
3,3099,,,1.9193837642669678,,
3,3149,,,1.7729254961013794,,
3,3199,,,1.7914819717407227,,
3,3199,,,,0.7285128831863403,1.7586699724197388
3,3199,,1.9311144351959229,,,
4,3249,,,1.5727341175079346,,
4,3299,,,1.7329171895980835,,
4,3349,,,1.636090874671936,,
4,3399,,,1.7116109132766724,,
4,3449,,,1.853487253189087,,
4,3499,,,1.7651207447052002,,
4,3549,,,1.547838807106018,,
4,3599,,,1.5150010585784912,,
4,3649,,,1.5264776945114136,,
4,3699,,,1.486891508102417,,
4,3749,,,1.5553913116455078,,
4,3799,,,1.4220234155654907,,
4,3849,,,1.6456509828567505,,
4,3899,,,1.5427387952804565,,
4,3949,,,1.7828165292739868,,
4,3999,,,1.5866892337799072,,
4,3999,,,,0.7610962390899658,1.5230029821395874
4,3999,,1.6322380304336548,,,
5,4049,,,1.67185640335083,,
5,4099,,,1.3486754894256592,,
5,4149,,,1.3453454971313477,,
5,4199,,,1.5370317697525024,,
5,4249,,,1.310343861579895,,
5,4299,,,1.4386787414550781,,
5,4349,,,1.3517489433288574,,
5,4399,,,1.5384650230407715,,
5,4449,,,1.470872402191162,,
5,4499,,,1.4771170616149902,,
5,4549,,,1.4475395679473877,,
5,4599,,,1.4296295642852783,,
5,4649,,,1.1908737421035767,,
5,4699,,,1.2874515056610107,,
5,4749,,,1.2679328918457031,,
5,4799,,,1.2346742153167725,,
5,4799,,,,0.7861505150794983,1.3329168558120728
