epoch,train_loss,train_acc,val_loss,val_acc
1,0.7072636970505118,0.75665,0.8084052982926369,0.7238
2,0.41913816791027786,0.85615,0.47521684393286706,0.8348
3,0.31336451042443514,0.892425,0.4179647707939148,0.8621
4,0.24285373881459235,0.9178,0.3865456038713455,0.869
5,0.2015714714024216,0.9303,0.39467034190893174,0.8723
6,0.1564944974752143,0.946025,0.3787271937727928,0.8846
7,0.13497655964456498,0.952275,0.3379904989153147,0.8923
8,0.11152181403245777,0.960675,0.3731080674380064,0.8864
9,0.09326816777233034,0.96815,0.5038603943586349,0.8609
10,0.09020195237360895,0.969425,0.439553342461586,0.8822
11,0.0630433556844946,0.978375,0.5004766131937504,0.8753
12,0.07526752862730063,0.973875,0.4318558730185032,0.8955
13,0.061152332613710315,0.97805,0.41207439661026,0.8918
14,0.05748604847351089,0.980825,0.4188931977748871,0.8961
15,0.051803339791949836,0.98235,0.4568614334613085,0.8876
16,0.054069980407366526,0.981575,0.42584722191095353,0.887
17,0.04338729189359583,0.985425,0.46147565960884096,0.8908
18,0.04132889954053098,0.98615,0.5614251468330622,0.8788
19,0.04291442500980338,0.98565,0.5328803101181984,0.8769
20,0.04446464050270151,0.985325,0.4163159331679344,0.8971
21,0.03435182180284755,0.98825,0.47242788508534433,0.8918
22,0.037752771429368295,0.9867,0.43151104867458345,0.8965
23,0.03497370959201362,0.987825,0.4604867707937956,0.8965
24,0.030095674104522914,0.989775,0.3801000388339162,0.9055
25,0.03484027340149623,0.988875,0.5072616408765316,0.892
26,0.02691268214897718,0.99075,0.42900387197732925,0.9041
27,0.028513194807346737,0.99045,0.554184453189373,0.8714
28,0.03557472112035612,0.987825,0.44183851264417173,0.8999
29,0.02669581114430912,0.991275,0.4303949037194252,0.8986
30,0.019114227159880103,0.993625,0.44639150783419607,0.904
31,0.03317361720008193,0.98905,0.42921623691916466,0.8973
32,0.02400114849646343,0.99175,0.5942333738505841,0.8759
33,0.01873059093948541,0.99355,0.44832948736846445,0.9039
34,0.02696671869365673,0.990875,0.5107761313766241,0.8915
35,0.024121519526815974,0.9918,0.5193581527471542,0.8938
36,0.02402516486690729,0.991825,0.4805087584257126,0.8895
37,0.021144115102288197,0.9927,0.5654908202588558,0.8863
38,0.019895832367183175,0.992875,0.4165841130912304,0.9039
39,0.02254877779439994,0.9925,0.44902156077325345,0.9037
40,0.010438441268106544,0.99685,0.5294216989725828,0.8955
41,0.029217110072786455,0.9903,0.5300333427637816,0.8875
42,0.016429135772632435,0.994275,0.41518608063459395,0.909
43,0.006877444816218485,0.997675,0.5024896000325679,0.9007
44,0.03123112146364292,0.989275,0.416633817255497,0.9057
45,0.013823584027522883,0.9952,0.5379381239414215,0.8926
46,0.011865811447896703,0.995925,0.45375308595597746,0.9094
47,0.017971328359271864,0.993775,0.5143630209565163,0.8962
48,0.017763040990030277,0.994125,0.39309852130711076,0.9143
49,0.018855705520436458,0.993825,0.49608512297272683,0.8995
50,0.014459745404565183,0.9951,0.4124831061810255,0.9129
