epoch,train_loss,train_acc,val_loss,val_acc
1,1.285135163962841,0.54315,1.3140447425842285,0.5759
2,0.9647164089977741,0.664025,0.9623920834064483,0.6623
3,0.837391075193882,0.706425,0.8969680863618851,0.6826
4,0.7615043415129185,0.734975,0.8004209536314011,0.7278
5,0.708899183049798,0.7533,0.7704468196630478,0.7309
6,0.6653700802475214,0.769225,0.7765506678819656,0.7234
7,0.6191148237138987,0.783525,0.6788595846295357,0.7676
8,0.6029352897405624,0.78935,0.6685229304432869,0.7728
9,0.5714929521083831,0.80165,0.6543161302804947,0.7787
10,0.5638051344454289,0.80415,0.6585550454258918,0.7771
11,0.5406810393184424,0.812825,0.5686194667220116,0.8041
12,0.5235897973179817,0.818425,0.5603303331136703,0.8049
13,0.5161364635825157,0.8227,0.6002974277734756,0.7964
14,0.4973049030452967,0.82895,0.5524366930127144,0.8099
15,0.48202738679945467,0.833275,0.5661120536923409,0.8072
16,0.4718736454844475,0.835625,0.5536495909094811,0.8082
17,0.4617797026783228,0.839375,0.5224853777885436,0.8208
18,0.4503475345298648,0.84135,0.5440023347735405,0.8152
19,0.4416949672624469,0.8461,0.5424237811565399,0.8202
20,0.4244267783686519,0.8532,0.5123341152071953,0.8273
21,0.41085434511303903,0.85815,0.521053581237793,0.8206
22,0.41394290335476397,0.856725,0.49090301871299746,0.8334
23,0.39693666484206913,0.86235,0.5099116006493568,0.83
24,0.40181257016956806,0.859475,0.4859281313419342,0.8395
25,0.38699164416640996,0.865025,0.5200858816504479,0.8222
26,0.38195333059877157,0.867875,0.5084300599992275,0.8296
27,0.3744892427325249,0.868575,0.4729353415966034,0.8418
28,0.36399088203907015,0.87355,0.48653326749801634,0.8397
29,0.3589107287302613,0.872825,0.501776394546032,0.829
30,0.35573268089443444,0.87655,0.4942806977033615,0.836
31,0.3537196124345064,0.877575,0.46969124138355256,0.8413
32,0.33992285586893556,0.88235,0.5255138319730759,0.8296
33,0.34080969765782354,0.8818,0.4696119171380997,0.8458
34,0.3350041270256042,0.8837,0.4745987790822983,0.8443
35,0.3365171641483903,0.883925,0.4911887100338936,0.8409
36,0.3219530251249671,0.8888,0.4762139220535755,0.8453
37,0.33051444347947834,0.886775,0.4785796469449997,0.8377
38,0.31798182498663663,0.887925,0.487570718228817,0.8396
39,0.31143072444945574,0.89295,0.46605956062674525,0.8478
40,0.30576544590294363,0.89295,0.5324400490522385,0.8309
41,0.31216270677745345,0.8903,0.4646034099161625,0.8485
42,0.3009936910867691,0.893375,0.46706920117139816,0.8477
43,0.30136562027037145,0.894625,0.48605389207601546,0.8428
44,0.299677021112293,0.896225,0.4764223653078079,0.8451
45,0.2939426801726222,0.898325,0.4617329943180084,0.85
46,0.2875386392883956,0.900925,0.4517407438158989,0.8528
47,0.2847516945004463,0.9016,0.47292517066001893,0.8414
48,0.28408430753275754,0.9018,0.44454030856490134,0.8568
49,0.27678848173469306,0.904625,0.49374654799699785,0.839
50,0.2796968151628971,0.901575,0.4702643257379532,0.8452
