epoch,train_loss,train_acc,val_loss,val_acc
1,1.6768620735406876,0.3919,1.4634020841121673,0.4537
2,1.1412635457515716,0.58705,1.3857498621940614,0.5562
3,0.8904354654252529,0.683425,0.85364766061306,0.6968
4,0.7402934140712023,0.7368,0.7367423310875892,0.736
5,0.6188524436205626,0.78455,0.7951020982861519,0.7321
6,0.5191383426636458,0.817425,0.7891277274489403,0.7461
7,0.4399172150716186,0.846975,0.6081229835748673,0.8
8,0.37591202300041915,0.86815,0.624895079433918,0.796
9,0.3071898140013218,0.893075,0.6033494845032692,0.8057
10,0.2412695769779384,0.915375,0.5972585958242417,0.8184
11,0.19447969030588866,0.932025,0.6604443919658661,0.8061
12,0.15580200841650366,0.944475,0.7644356215000152,0.7914
13,0.13222839276771992,0.95335,0.7402460193634033,0.8108
14,0.11177974669728429,0.96075,0.8202496030926705,0.8003
15,0.09413643467938528,0.9667,0.7520072156190872,0.8196
16,0.08673951782518997,0.968975,0.7926374498009682,0.8144
17,0.07541833687573671,0.97315,0.8056802159547806,0.807
18,0.0683035592851229,0.97565,0.9334839731454849,0.809
19,0.06382168949698099,0.978125,0.9000869318842888,0.8131
20,0.06737173095345497,0.977,0.8102014237642288,0.8144
21,0.05704469163727481,0.98,0.8511082658171654,0.8145
22,0.04718454806425143,0.98315,0.892157586812973,0.813
23,0.043484645476273724,0.98545,1.0351730170845985,0.8105
24,0.05307059514103457,0.98055,0.9404502347111702,0.8152
25,0.04956884233339224,0.983225,0.9237088418006897,0.8115
26,0.04518297473492566,0.984825,0.8291346991062164,0.8327
27,0.03811727924447041,0.98725,1.0346489131450654,0.7998
28,0.033653013247821946,0.988225,0.9445192664861679,0.8172
29,0.034852882726845565,0.988425,1.0173139894008636,0.8105
30,0.045072631992516106,0.9844,0.9039684867858887,0.8203
31,0.040531788809603314,0.986375,0.8723494124412536,0.8229
32,0.03156064411770785,0.988625,0.9647218972444535,0.815
33,0.03206288021247019,0.989225,0.8313131842017174,0.8314
34,0.03598648775703623,0.987825,0.8131764590740204,0.8329
35,0.024178895438708423,0.99215,1.0354800322651863,0.8102
36,0.027901948986691422,0.9901,0.9904692202806473,0.8237
37,0.03412853634014027,0.9891,0.9771262058615684,0.822
38,0.029486829830275382,0.989875,0.8978775236010551,0.8298
39,0.027019170582425433,0.990625,0.9767779183387756,0.8252
40,0.02221206668367813,0.9922,0.9268085488677025,0.8336
41,0.02637768371467246,0.99115,0.9892026671767234,0.8232
42,0.028054018736293075,0.9904,1.085217822790146,0.8135
43,0.024559064083514385,0.991575,0.9265497159957886,0.8323
44,0.019009613221278414,0.9935,1.047330246567726,0.8224
45,0.025231291123236587,0.99145,0.9099796465039254,0.8291
46,0.018042396203709357,0.993975,0.9099087771773339,0.8362
47,0.02997989997456898,0.989925,0.961913974583149,0.8178
48,0.02290537326305639,0.9925,0.9650244435667992,0.8293
49,0.013693342418409884,0.995475,1.023789841234684,0.8232
50,0.02230884918892116,0.99215,1.036476997435093,0.8292
